"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC22.F_CV","22/03/2021","75.52516"
"C-4450.8601A","ECI1.A-TC22.F_CV","23/03/2021","75.12783"
"C-4450.8601A","ECI1.A-TC22.F_CV","24/03/2021","75.79357"
"C-4450.8601A","ECI1.A-TC22.F_CV","25/03/2021","76.12897"
"C-4450.8601A","ECI1.A-TC22.F_CV","27/03/2021","75.27713"
"C-4450.8601A","ECI1.A-TC22.F_CV","28/03/2021","75.0117"
"C-4450.8601A","ECI1.A-TC22.F_CV","29/03/2021","75.93074"
"C-4450.8601A","ECI1.A-TC22.F_CV","30/03/2021","78.35601"
"C-4450.8601A","ECI1.A-TC22.F_CV","31/03/2021","74.52165"
"C-4450.8601A","ECI1.A-TC22.F_CV","01/04/2021","75.98249"
"C-4450.8601A","ECI1.A-TC22.F_CV","02/04/2021","76.11387"
"C-4450.8601A","ECI1.A-TC22.F_CV","03/04/2021","80.82301"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/04/2021","77.2149"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/04/2021","74.2321"
"C-4450.8601A","ECI1.A-TC22.F_CV","06/04/2021","76.43233"
"C-4450.8601A","ECI1.A-TC22.F_CV","07/04/2021","79.0714"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/04/2021","75.92096"
"C-4450.8601A","ECI1.A-TC22.F_CV","09/04/2021","74.30318"
"C-4450.8601A","ECI1.A-TC22.F_CV","10/04/2021","74.89269"
"C-4450.8601A","ECI1.A-TC22.F_CV","11/04/2021","76.83426"
"C-4450.8601A","ECI1.A-TC22.F_CV","12/04/2021","78.8534"
"C-4450.8601A","ECI1.A-TC22.F_CV","13/04/2021","81.62926"
"C-4450.8601A","ECI1.A-TC22.F_CV","14/04/2021","75.36982"
"C-4450.8601A","ECI1.A-TC22.F_CV","15/04/2021","77.04985"
"C-4450.8601A","ECI1.A-TC22.F_CV","16/04/2021","76.72055"
"C-4450.8601A","ECI1.A-TC22.F_CV","17/04/2021","74.97234"
"C-4450.8601A","ECI1.A-TC22.F_CV","18/04/2021","74.13096"
"C-4450.8601A","ECI1.A-TC22.F_CV","27/04/2021","73.09752"
"C-4450.8601A","ECI1.A-TC22.F_CV","28/04/2021","81.06494"
"C-4450.8601A","ECI1.A-TC22.F_CV","29/04/2021","75.68789"
"C-4450.8601A","ECI1.A-TC22.F_CV","30/04/2021","74.28022"
"C-4450.8601A","ECI1.A-TC22.F_CV","01/05/2021","75.17105"
"C-4450.8601A","ECI1.A-TC22.F_CV","02/05/2021","74.259"
"C-4450.8601A","ECI1.A-TC22.F_CV","03/05/2021","73.26299"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/05/2021","73.75923"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/05/2021","77.79813"
"C-4450.8601A","ECI1.A-TC22.F_CV","07/05/2021","78.31499"
