"DATA","TEMPERATURA"
"02/12/2020","43.4864"
"02/12/2020","39.61881"
"03/12/2020","43.96169"
"03/12/2020","50.54452"
"04/12/2020","44.50795"
"04/12/2020","42.79003"
"07/12/2020","43.95097"
"07/12/2020","48.70787"
"08/12/2020","43.3428"
"08/12/2020","48.08257"
"09/12/2020","42.00979"
"09/12/2020","48.40571"
"16/12/2020","51.98871"
"16/12/2020","45.68644"
"17/12/2020","44.63152"
"17/12/2020","52.55541"
"19/12/2020","53.08384"
"19/12/2020","47.22565"
"26/12/2020","49.11111"
"26/12/2020","42.17757"
"27/12/2020","51.55289"
"27/12/2020","44.23387"
"28/12/2020","45.64093"
"28/12/2020","53.52543"
"09/01/2021","44.77482"
"09/01/2021","50.08551"
"18/01/2021","44.94958"
"18/01/2021","43.24192"
"19/01/2021","53.51761"
"19/01/2021","45.76589"
"21/01/2021","51.47242"
"21/01/2021","45.66868"
"22/01/2021","52.66636"
"22/01/2021","45.53064"
"27/01/2021","50.95016"
"27/01/2021","58.17741"
"28/01/2021","53.46613"
"28/01/2021","46.51894"
"30/01/2021","47.57177"
"30/01/2021","52.8777"
"01/03/2021","44.17042"
"01/03/2021","39.99914"
"02/03/2021","42.00222"
"02/03/2021","49.97228"
"03/03/2021","52.13256"
"03/03/2021","44.49396"
"04/03/2021","44.15165"
"04/03/2021","51.77518"
"05/03/2021","45.13275"
"05/03/2021","52.49294"
"10/03/2021","49.66966"
"10/03/2021","44.33415"
"11/03/2021","53.32731"
"11/03/2021","44.47428"
"12/03/2021","48.70595"
"12/03/2021","41.99845"
"13/03/2021","51.03125"
"13/03/2021","43.48972"
"14/03/2021","48.20585"
"14/03/2021","42.51937"
"15/03/2021","43.45721"
"15/03/2021","49.31644"
"21/03/2021","54.14929"
"21/03/2021","47.33108"
"22/03/2021","44.54218"
"22/03/2021","51.56329"
"23/03/2021","45.62698"
"23/03/2021","52.90485"
"27/03/2021","54.29686"
"27/03/2021","47.95524"
"28/03/2021","47.32838"
"28/03/2021","50.82167"
"07/04/2021","48.41244"
"07/04/2021","43.77635"
"08/04/2021","42.67089"
"08/04/2021","48.89348"
"09/04/2021","44.0436"
"09/04/2021","40.58228"
"10/04/2021","43.24954"
"10/04/2021","50.34106"
"11/04/2021","49.80781"
"11/04/2021","43.36776"
"13/04/2021","49.24965"
"13/04/2021","42.75821"
"14/04/2021","44.75357"
"14/04/2021","50.72783"
"15/04/2021","50.25014"
"15/04/2021","43.38157"
"16/04/2021","42.49133"
"16/04/2021","49.78534"
"17/04/2021","43.10784"
"17/04/2021","50.94352"
"18/04/2021","50.26446"
"18/04/2021","42.58094"
"19/04/2021","42.42637"
"19/04/2021","49.18602"
"20/04/2021","42.39743"
"20/04/2021","49.067"
"21/04/2021","42.06506"
"21/04/2021","48.52263"
"22/04/2021","47.43761"
"22/04/2021","40.74609"
"24/04/2021","49.64203"
"24/04/2021","41.51619"
"25/04/2021","49.05286"
"25/04/2021","41.22938"
"26/04/2021","40.71592"
"26/04/2021","47.65329"
"27/04/2021","48.01544"
"27/04/2021","41.47056"
"28/04/2021","48.52983"
"28/04/2021","41.19123"
"29/04/2021","47.91761"
"29/04/2021","40.46771"
"30/04/2021","41.4079"
"30/04/2021","48.9684"
"01/05/2021","39.90087"
"01/05/2021","48.76092"
"02/05/2021","41.46309"
"02/05/2021","45.18124"
"04/05/2021","48.28221"
"04/05/2021","40.55902"
"05/05/2021","44.17393"
"05/05/2021","38.69529"
"07/05/2021","42.37801"
"07/05/2021","49.57672"
"08/05/2021","48.0448"
"08/05/2021","39.98742"
"09/05/2021","49.00845"
"09/05/2021","41.82065"
"10/05/2021","40.54075"
"10/05/2021","49.56935"
"11/05/2021","43.07164"
"11/05/2021","50.33079"
"12/05/2021","42.0689"
"12/05/2021","49.43578"
"13/05/2021","46.6559"
"13/05/2021","40.38961"
"14/05/2021","47.2683"
"14/05/2021","39.43156"
"15/05/2021","42.13556"
"15/05/2021","49.50992"
"16/05/2021","49.69644"
"16/05/2021","41.95296"
"17/05/2021","49.33329"
"17/05/2021","42.06361"
"18/05/2021","41.0822"
"18/05/2021","47.86314"
"19/05/2021","41.08893"
"19/05/2021","47.04183"
"20/05/2021","41.10291"
"20/05/2021","48.07085"
"21/05/2021","47.06514"
"21/05/2021","38.20841"
"25/05/2021","47.52118"
"25/05/2021","40.32527"
"26/05/2021","38.75554"
"26/05/2021","46.8086"
"27/05/2021","36.82893"
"27/05/2021","46.91793"
"28/05/2021","42.70658"
"28/05/2021","50.29254"
"29/05/2021","46.10352"
"29/05/2021","53.57224"
