"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","07/05/2021","656.62722"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","08/05/2021","656.52425"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","09/05/2021","652.52094"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","10/05/2021","651.15895"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","11/05/2021","656.62898"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","12/05/2021","648.41455"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","13/05/2021","645.80964"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","14/05/2021","652.51012"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","15/05/2021","645.2295"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","16/05/2021","644.44771"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","17/05/2021","623.81861"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","18/05/2021","646.94646"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","19/05/2021","639.61862"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","20/05/2021","651.57397"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","21/05/2021","651.23773"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","22/05/2021","651.22193"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","23/05/2021","648.96845"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","24/05/2021","646.89078"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","25/05/2021","652.08763"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","26/05/2021","659.88564"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","27/05/2021","657.60818"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","28/05/2021","649.66032"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","29/05/2021","653.76227"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","30/05/2021","658.63225"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","31/05/2021","656.05313"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","01/06/2021","633.35967"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","02/06/2021","638.44096"
