EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,1,80,80,60,0.350000,Adadelta,800,32,3.099895,9.609349,3.757484
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.200000,Adam,800,32,2.170199,4.709764,2.575941
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.200000,Adadelta,800,32,2.787880,7.772277,3.293418
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.250000,Adam,800,32,1.990530,3.962210,2.364815
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.250000,Adadelta,800,32,2.825234,7.981949,3.349874
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.300000,Adam,800,32,2.228296,4.965303,2.637968
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.300000,Adadelta,800,32,2.830878,8.013869,3.358393
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.350000,Adam,800,32,2.376729,5.648841,2.794129
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,150,80,80,0.350000,Adadelta,800,32,3.010109,9.060754,3.622989
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.200000,Adam,800,32,2.165453,4.689188,2.563416
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.200000,Adadelta,800,32,2.835122,8.037915,3.365061
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.250000,Adam,800,32,2.411927,5.817392,2.832563
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.250000,Adadelta,800,32,2.827807,7.996491,3.353586
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.300000,Adam,800,32,2.264606,5.128441,2.664978
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.300000,Adadelta,800,32,2.823274,7.970876,3.345270
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.350000,Adam,800,32,2.350392,5.524342,2.760219
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,120,60,40,0.350000,Adadelta,800,32,2.954828,8.731010,3.545506
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.200000,Adam,800,32,2.387756,5.701380,2.795811
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.200000,Adadelta,800,32,2.847877,8.110405,3.384739
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.250000,Adam,800,32,2.319768,5.381323,2.713004
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.250000,Adadelta,800,32,2.977558,8.865853,3.578043
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.300000,Adam,800,32,2.552191,6.513681,2.981706
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.300000,Adadelta,800,32,2.887910,8.340025,3.443749
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.350000,Adam,800,32,2.503802,6.269025,2.921230
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,2,80,80,60,0.350000,Adadelta,800,32,2.903921,8.432759,3.469049
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.200000,Adam,800,32,1.316780,1.733909,1.366726
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.200000,Adadelta,800,32,2.859055,8.174197,3.399084
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.250000,Adam,800,32,1.297413,1.683281,1.433174
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.250000,Adadelta,800,32,2.829984,8.008811,3.354050
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.300000,Adam,800,32,1.317793,1.736577,1.527321
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.300000,Adadelta,800,32,2.922670,8.541999,3.493364
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.350000,Adam,800,32,1.407750,1.981761,1.736014
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,150,80,80,0.350000,Adadelta,800,32,2.771249,7.679821,3.266531
