EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.200000,Adam,800,32,34.664899,1201.655244,116.141946
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.200000,Adadelta,800,32,12.513269,156.581907,35.018883
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.250000,Adam,800,32,37.302445,1391.472433,124.935047
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.250000,Adadelta,800,32,6.719985,45.158198,17.263254
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.300000,Adam,800,32,36.157915,1307.394817,121.119486
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.300000,Adadelta,800,32,12.292480,151.105065,33.464681
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.350000,Adam,800,32,36.815339,1355.369199,123.309655
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,1,80,80,60,0.350000,Adadelta,800,32,7.950466,63.209903,20.493786
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.200000,Adam,800,32,37.858355,1433.255057,126.783742
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.200000,Adadelta,800,32,8.311011,69.072898,21.355102
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.250000,Adam,800,32,33.839977,1145.144070,113.385017
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.250000,Adadelta,800,32,10.352910,107.182755,27.518577
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.300000,Adam,800,32,34.639418,1199.889288,116.058537
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.300000,Adadelta,800,32,9.023360,81.421024,23.222801
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.350000,Adam,800,32,35.393366,1252.690328,118.571181
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,150,80,80,0.350000,Adadelta,800,32,8.732909,76.263694,22.890678
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.200000,Adam,800,32,37.100191,1376.424137,124.257308
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.200000,Adadelta,800,32,8.408689,70.706053,21.781440
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.250000,Adam,800,32,35.350964,1249.690626,118.428582
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.250000,Adadelta,800,32,7.727024,59.706904,20.038679
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.300000,Adam,800,32,35.111950,1232.849066,117.630074
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.300000,Adadelta,800,32,10.087997,101.767690,26.503193
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.350000,Adam,800,32,34.865863,1215.628418,116.815062
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,120,60,40,0.350000,Adadelta,800,32,11.323473,128.221044,30.264593
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.200000,Adam,800,32,35.825891,1283.494454,120.012548
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.200000,Adadelta,800,32,9.313005,86.732054,24.261755
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.250000,Adam,800,32,35.408246,1253.743890,118.621419
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.250000,Adadelta,800,32,10.204866,104.139298,26.559597
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.300000,Adam,800,32,36.485481,1331.190344,122.215449
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.300000,Adadelta,800,32,9.665133,93.414801,25.601189
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.350000,Adam,800,32,35.273298,1244.205546,118.175363
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,2,80,80,60,0.350000,Adadelta,800,32,9.160819,83.920599,24.118994
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.200000,Adam,800,32,33.758668,1139.647641,113.107351
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.200000,Adadelta,800,32,10.749395,115.549499,29.166766
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.250000,Adam,800,32,35.093169,1231.530508,117.570056
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.250000,Adadelta,800,32,10.517069,110.608731,28.333157
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.300000,Adam,800,32,34.448570,1186.703948,115.417901
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.300000,Adadelta,800,32,10.905169,118.922710,29.536292
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.350000,Adam,800,32,34.228562,1171.594442,114.678184
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,150,80,80,0.350000,Adadelta,800,32,11.218535,125.855524,30.332826
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.200000,Adam,800,32,33.498326,1122.137817,112.236767
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.200000,Adadelta,800,32,10.992615,120.837575,29.694517
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.250000,Adam,800,32,32.681016,1068.048823,109.510525
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.250000,Adadelta,800,32,10.129842,102.613707,27.384542
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.300000,Adam,800,32,34.740535,1206.904769,116.390278
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.300000,Adadelta,800,32,11.265972,126.922131,30.590282
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.350000,Adam,800,32,32.227620,1038.619478,107.999301
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,120,60,40,0.350000,Adadelta,800,32,11.145627,124.224995,30.480094
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.200000,Adam,800,32,31.872401,1015.849939,106.805049
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.200000,Adadelta,800,32,10.449417,109.190322,28.337102
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.250000,Adam,800,32,35.355318,1249.998497,118.443911
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.250000,Adadelta,800,32,10.347238,107.065338,28.077930
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.300000,Adam,800,32,35.018147,1226.270597,117.314070
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.300000,Adadelta,800,32,11.027162,121.598313,29.782821
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.350000,Adam,800,32,35.388245,1252.327886,118.553872
